wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total
Avtr4ZjsMDsfUEcLedsUDhVXE2QiQHxepbQv7VPS3BoY,1785083506,2026-07-26T16:31:46Z,14749.369168219104,1787078416,2026-08-18T18:40:16Z,1,16,0.20507408000000002,44.02479403899999,961690.303736,961690.303736,0,43.819719959000004,3263.6927425463205,33248.5,True,17
3wH5bhr4LeT2fVHwdnR5Gbq12iNXGm4VWQ2ESe9ndrmb,1785083407,2026-07-26T16:30:07Z,16402.62450601119,1787594913,2026-08-24T18:08:33Z,52,33,62.12760967999999,100.889288972,5847392.677274996,5847392.677274999,0,38.761679292000004,2886.9698736681603,41858.43,True,85
NiggaLo8cqEGwk7ZKhA3TA87CDPScMAzH8CShbNWJFg,1785083525,2026-07-26T16:32:05Z,20620.302744988203,1786090441,2026-08-07T08:14:01Z,3,7,0.205497011,37.876165148,687883.32527,687882.838218,0.487052,37.670668137,2805.71136284376,16781.93,True,10
9kr7KJhFiJJf3ML9tm9kWqSRoPczvZgtAwx1k7sGz9vH,1785083418,2026-07-26T16:30:18Z,20507.004922819517,1785084785,2026-07-26T16:53:05Z,2,17,5.25815028,40.710010923999995,11941941.102251,52252905.51556699,0,35.451860644,2640.45458076512,22.78,True,19
8yGmi4AJNsvk9sGvuAUiDmCVvqS99E6wmMnEgFgfQhNe,1785083463,2026-07-26T16:31:03Z,11187.72800797638,1787700918,2026-08-25T23:35:18Z,11,38,3.702450191,34.52995192900001,876717.0600809999,865717.059276,11000.000805,30.827959848999996,2296.0664495535198,43624.25,False,49
CYieHKcG7HZNdqzSVQQpMmHHhqNZDU7WXpF17YHKMMiq,1785083546,2026-07-26T16:32:26Z,25345.21459139632,1786035108,2026-08-06T16:51:48Z,31,55,27.37599206,56.067065914999986,4941065.778035001,4941065.778035001,0,28.691073855000006,2136.9111807204004,15859.37,True,86
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,1785083141,2026-07-26T16:25:41Z,9721.490951072632,1785084829,2026-07-26T16:53:49Z,33,14,12.465323038,38.360628373000004,51711988.951538,58413054.07407301,0,25.895305335000003,1928.6823413508002,28.13,True,47
HwWgT4qXsTFCssX1r8jecbkMFsz1RnGeTvyZ6bn7rvcL,1785083197,2026-07-26T16:26:37Z,18425.411586331684,1785085802,2026-07-26T17:10:02Z,14,11,6.012977589,31.657024678,20999213.709188003,45650113.290438004,0,25.644047089,1909.9686271887201,43.42,True,25
31iRQFxAApGY6LAXm16QDXmPFHSeY2mP4dW96P22iTBV,1785083146,2026-07-26T16:25:46Z,13294.123663687027,1785609411,2026-08-01T18:36:51Z,27,7,24.210283961000005,49.031940426999995,13164487.924979003,13164450.470982,37.453997,24.821656466000004,1848.7169735876803,8771.08,False,34
J898BLdjUWFPsvqwraj1rjg33rE9B6zJY6HvWFKx71fo,1785083466,2026-07-26T16:31:06Z,9434.30641124402,1785783478,2026-08-03T18:57:58Z,28,11,59.25900236600002,83.86297359599999,19683821.410538998,19683821.410538998,0,24.603971229999992,1832.5037772103994,11666.87,True,39
5eWFPsoyqrbV9W7AsdUjLA1ZscphwecuZNaa5kQhEu8J,1785083485,2026-07-26T16:31:25Z,17832.076496318692,1785217220,2026-07-28T05:40:20Z,115,28,6.38857408,28.879446860999998,5703026.778262,5703026.778262001,0,22.490872781000004,1675.1202047288805,2228.92,True,143
3yWgHqJTFDPde354uUvRdDyQwedeWexwZysNiEGYUxfj,1785083538,2026-07-26T16:32:18Z,21762.98196887408,1785777769,2026-08-03T17:22:49Z,7,15,5.206302975,25.574596767,4369888.62269,4369888.622690001,0,20.368293791999996,1517.0305216281597,11570.52,True,22
FT9AgC7PG29RVxp2KRiMYkP8tMCP62ed4S89B5e9d5jC,1785083152,2026-07-26T16:25:52Z,13774.506545769833,1785789500,2026-08-03T20:38:20Z,323,417,7.183765157999997,27.261610439000005,1646634.0540840013,1646569.3853939995,64.66869,20.092104775000006,1496.4599636420005,11772.47,False,740
FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,1785083141,2026-07-26T16:25:41Z,10417.844048079423,1785084777,2026-07-26T16:52:57Z,30,15,9.774552043000003,29.75933606,46996134.621570006,53414507.44676901,0,19.984784017,1488.46671358616,27.27,True,45
8nDbbXEnHLc6q6dzgwSqLEM1ZGKr1nzpdLwaxPbhArHS,1785083535,2026-07-26T16:32:15Z,26567.405733936757,1785170106,2026-07-27T16:35:06Z,5,14,9.10677316,28.791503236,6580117.210971,6580117.210971,0,19.684730076,1466.1186960604803,1442.85,True,19
4qto7bL6cK24gnbWCAyZecvRJR1J2UofDefrX98cd8V8,1785083539,2026-07-26T16:32:19Z,22431.469818539026,1785262400,2026-07-28T18:13:20Z,9,6,13.065579763,32.441197621,6178974.925988,6178974.925980001,8.000174560152118e-06,19.375617858623695,1443.0960181102928,2981.02,True,15
CBQcSSyjVKKFwQfQiX3D4EJ6y33Y18uGFNQojGwsMoQY,1785083469,2026-07-26T16:31:09Z,10915.367069017975,1785960721,2026-08-05T20:12:01Z,26,24,139.57377408,158.30003584899998,9815390.205912,9815390.205912001,0,18.726261768999997,1394.73197655512,14620.87,True,50
9xNbwMQkTVsmhNU8PNqgDNS1Tniq3GzwHNikknc1vcxk,1785083128,2026-07-26T16:25:28Z,6577.954597412944,1785492817,2026-07-31T10:13:37Z,3,8,0.15121848000000002,18.625687161000002,753756.4438479999,753756.4438479999,0,18.474468680999998,1375.97842736088,6828.15,True,11
6QGy8GDvBC6EhFeBmt592d65o3TXWaeY2johmeR3qWt4,1785083466,2026-07-26T16:31:06Z,8954.993404789862,1785783478,2026-08-03T18:57:58Z,22,20,44.926669657999994,62.63407669000001,17812761.366193004,17812761.366193,0,17.707407032000003,1318.8476757433602,11666.87,True,42
8vqaSN7ygJjWAjRqpUjNt3uwBfQuaDNiuweoVcxyGQLu,1785083466,2026-07-26T16:31:06Z,8698.833544229878,1785783478,2026-08-03T18:57:58Z,22,20,45.65169328699999,63.071587617000006,18537323.524531998,18537323.524531998,0,17.41989433,1297.4337296984002,11666.87,True,42
6gFqpfzzjtNYCWtJ6xxoYTJR1P7NiZPfx8z93Sxh3oUh,1785083149,2026-07-26T16:25:49Z,15000.765036720779,1785793551,2026-08-03T21:45:51Z,22,19,35.67914707400001,52.64792799500001,9323838.061645998,9323838.061645998,0,16.968780921000004,1263.8348029960803,11840.03,True,41
wPBUBzZqycXSKoE5SSA2hnoRc8dusQhptrfUfnfDsan,1785083524,2026-07-26T16:32:04Z,21289.411129896187,1787774072,2026-08-26T19:54:32Z,16,27,18.589812159999997,34.813141705999996,1567037.1491229995,1567037.1491229997,0,16.223329546000006,1208.3135845860804,44842.47,True,43
BxKZUvKm73hfpTTjjPst1Tw5Eh9gVehhrY2fT7fbTfGp,1785083171,2026-07-26T16:26:11Z,19933.20342452675,1785788227,2026-08-03T20:17:07Z,18,36,26.315839701999995,42.412681635,18345279.839546002,18345279.839546002,0,16.096841933,1198.8927871698402,11750.93,True,54
ABQgTqPzm3278pvFGxyWDr9cxKRKbrka1oQWzFAaxcvB,1785083438,2026-07-26T16:30:38Z,17838.360622944216,1785084945,2026-07-26T16:55:45Z,2,8,4.004301037,19.482304102,14638628.214933,14638628.214933,0,15.478003065,1152.8016682812,25.12,True,10
ByMh4opZhSiZzoya3iKoF7PQvY2xJfQ8t3uDkwi3RxsC,1785083189,2026-07-26T16:26:29Z,18580.93250875924,1787403759,2026-08-22T13:02:39Z,5,3,0.9655740799999999,16.343147749,1954594.125416,1954594.125416,0,15.377573668999998,1145.32168686712,38676.17,True,8
7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,1785083141,2026-07-26T16:25:41Z,9002.592281572735,1785084777,2026-07-26T16:52:57Z,30,12,9.594939732000002,24.011826492999997,52463557.86236001,57686388.565034,0,14.416886760999999,1073.7697259592799,27.27,True,42
Ckm6DF7m77M2WzriP8W26vLWuoNz6EKGC1gRxLHsNZDq,1785083507,2026-07-26T16:31:47Z,14770.92978815912,1785095247,2026-07-26T19:47:27Z,1,2,0.10807408,13.920671906,480143.27625,480143.27625,0,13.812597826,1028.76228608048,195.67,True,3
BbrqKd1Cg6grigK2Y4N4eMLB8BM8RZeKWC1m9TGMJUUM,1785083162,2026-07-26T16:26:02Z,13466.879846796712,1787580224,2026-08-24T14:03:44Z,190,42,9.952746358999994,15.086908667999996,303559.94129200035,262250.76993300003,41309.171359,13.353519251040915,994.5701138175274,41617.7,False,232
