wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_spent,usd_spent,tokens_held_at_window_close,current_onchain_balance,current_usd_value,status
0x104fe90a61edb5f95e8dfe96c723ba9127a1ed1e,2026-08-31T17:32:48Z,64062.76,1,242145.3504,0.00626827,15.51,242145.3504,0.0,0.0,exited after window
0x63b605e19ab7c3d00889951f6d66fbe58e6f5f0f,2026-08-31T17:45:17Z,73483.81,1,208406.3984,0.00618826,15.31,208406.3984,208406.3984,22.3,still holds
0x460bb046cb43b140d8b8f2674e6fc8dc54697997,2026-08-31T18:21:48Z,73830.19,1,200184.6759,0.00597215,14.78,200184.6759,192212.8629,20.57,still holds
0xacbbb819c99ed55c30cbcbec762e90cea061def6,2026-08-31T21:04:21Z,108898.17,1,199184.6286,0.0087648,21.69,199184.6286,199184.6286,21.31,still holds
0xb81c053462eeb94ae12fd94ae155162e3e5cd238,2026-08-31T17:24:02Z,70475.3,1,197742.0042,0.00563121,13.94,197742.0042,197742.0042,21.16,still holds
0x4c46b6ef3e7e0f594e18c2fc9bd43a6362d97fb5,2026-08-31T17:40:41Z,63981.04,2,195506.4864,0.00515458,12.76,195506.4864,195506.4864,20.92,still holds
0xa25a25fa63031014e45bd3819bae3d099c89bdab,2026-08-31T21:01:09Z,105902.16,1,185077.9826,0.00792,19.6,185077.9826,0.0,0.0,exited after window
0x85680543634a9081d4d03a5bb85eaca37b6831c5,2026-08-31T19:19:43Z,77978.1,1,179514.2209,0.00565636,14.0,179514.2209,0.0,0.0,exited after window
0x519938a18ad9f175d11ed9ebdbe264c71fc72da3,2026-08-31T17:54:56Z,75453.83,2,176292.7032,0.0043,10.64,176292.7032,176292.7032,18.86,still holds
0xb42c68ba5882bd68e26b8a90025eac16e518c214,2026-08-31T18:37:16Z,57649.81,1,169993.2466,0.00396,9.8,169993.2466,169993.2466,18.19,still holds
0xd725e4b1744b42d46a136e651211985ff21137c8,2026-08-31T17:56:08Z,84869.16,1,165972.1105,0.00569181,14.09,165972.1105,0.0,0.0,exited after window
0x23b0b0361193730eb7aa3c87c68f0347d98cec40,2026-08-31T17:34:39Z,63802.29,3,163458.6777,0.00415839,10.29,163458.6777,163458.6777,17.49,still holds
