wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_in,usd_in,n_sells,tokens_sold,eth_out,usd_out,realized_pnl_eth,realized_pnl_usd,tokens_left_at_window_close,current_onchain_balance,current_usd_value,status
0x8dd6727755b5a8c463e7ec0f62937eff27ea4624,2026-08-31T17:23:56Z,70829.21,1,221766.3917,0.00634708,15.71,1,221766.3917,0.0051647,12.78,-0.00118237,-2.93,0,0.0,0.0,sold out in window
0x4e5768899556d58c7450de7fdad15ed57e3d99ef,2026-08-31T18:28:43Z,51401.14,1,216657.7072,0.0045,11.14,1,215575.7727,0.00773728,19.15,0.00325975,8.07,1081.9344,0.0,0.0,exited after window
0xec2daecb6162332d13a0c235d5dda2cc351684ae,2026-08-31T17:30:57Z,57286.92,1,213837.6042,0.00495,12.25,2,93553.9518,0.00358737,8.88,0.00142174,3.52,120283.6524,360364.7068,38.56,still holds
0xe6611d430aaabe7565c01a9c57f53a35379e4879,2026-08-31T17:24:42Z,92243.21,1,212706.5382,0.00792831,19.62,1,212706.5382,0.00607999,15.05,-0.00184832,-4.57,0,0.0,0.0,sold out in window
0x8e47812d2aacc08ec474e4e4d66c1ef9fd3d0047,2026-08-31T17:29:29Z,58532.56,1,209286.8874,0.00495,12.25,1,209286.8874,0.00566193,14.01,0.00071193,1.76,0,0.0,0.0,sold out in window
0xe8d388b55f906924095fe3dfc7f265efd384080c,2026-08-31T17:23:17Z,51070.95,1,208282.7401,0.00429826,10.64,2,156212.055,0.00596154,14.75,0.00273784,6.78,52070.685,0.0,0.0,exited after window
0xa3a12d92d94106d2ee311e67cbd5b2d046e1526d,2026-08-31T17:21:35Z,38330.0,4,208154.1873,0.003564,8.82,1,208154.1873,0.00558445,13.82,0.00202045,5.0,0.0,0.0,0.0,sold out in window
0xd71311f04f835293d054ba767965d8ba9cf4d73b,2026-08-31T17:46:21Z,76331.46,1,205484.9241,0.00633796,15.68,1,205484.9241,0.00473842,11.73,-0.00159953,-3.96,0,0.0,0.0,sold out in window
0x1bd04ed55561dd5644b264bdcade1da6c48a116f,2026-08-31T17:24:32Z,84361.56,2,204115.0765,0.00689436,17.06,1,204115.0765,0.0049322,12.21,-0.00196215,-4.86,0,0.0,0.0,sold out in window
0xfcc9c7c92c7327ad44481588a4c3b1fe57a84495,2026-08-31T17:24:29Z,78507.59,1,202055.7748,0.00640986,15.86,1,202055.7748,0.0077085,19.08,0.00129864,3.21,0,0.0,0.0,sold out in window
0xf4963a0815936d6aee5823df9a78950772ab7595,2026-08-31T21:01:05Z,105707.58,1,196184.5934,0.00837986,20.74,1,196184.5934,0.00855802,21.18,0.00017816,0.44,0,0.0,0.0,sold out in window
0xbf947ae5190d2951a72987691a4d9683afb360e3,2026-08-31T17:31:36Z,59920.4,1,193753.4109,0.00469126,11.61,1,193753.4109,0.0053003,13.12,0.00060904,1.51,0,0.0,0.0,sold out in window
0x91c3d70467ff4c224d421e1fbeb14f9f2fb23ff2,2026-08-31T17:32:03Z,60973.03,1,191604.022,0.00472072,11.68,1,191604.022,0.00474537,11.74,2.465e-05,0.06,0,0.0,0.0,sold out in window
0x4481331eed269d9f6d1a019b1d4da6abfc9d6ccd,2026-08-31T17:21:17Z,53783.33,2,189435.6652,0.00404421,10.01,3,189435.6652,0.00440723,10.91,0.00036302,0.9,0.0,0.0,0.0,sold out in window
0x0c76e9566040b194b4f7d88363326df0adec9b6f,2026-08-31T17:25:23Z,75164.33,1,188644.1802,0.00572955,14.18,1,188644.1802,0.00673927,16.68,0.00100971,2.5,0,0.0,0.0,sold out in window
