wallet,n_tokens,tokens,total_realized_usd,NTF_realized_usd,PONS_realized_usd,AI_realized_usd,QUANT_realized_usd,NTF_still_holding,PONS_still_holding,AI_still_holding,QUANT_still_holding,clusters
0x75484c9f5f3f5c3b6cf93edddaa751114eca4f32,2,NTF+QUANT,190.26,-11.22,,,201.48,False,,,True,
0x6d0db8c738f5762b2124a39a004721c66fde20a3,2,AI+PONS,181.63,,428.36,-246.74,,,False,False,,
0xb29de48c52175cf0cfdf0265169c9f850e31da81,2,PONS+QUANT,176.44,,55.08,,121.37,,False,,True,
0xf4bedf1ce7c20ac2e450bcc7850984361de555e8,2,PONS+QUANT,164.53,,48.35,,116.19,,False,,True,
0x4bd8598cdca1b218f2f964f3832ebbea354383b8,2,PONS+QUANT,162.33,,46.88,,115.46,,False,,True,
0x69859d1dec2fab389a5da6fc83b2bf2900aafec6,2,PONS+QUANT,161.2,,47.24,,113.96,,False,,True,
0xb1764e627a568b344bc2fa25ca7fd44364105ac0,3,AI+PONS+QUANT,157.91,,157.91,0,0,,False,False,False,pons-s010 pons-s024
0xd796d95e0784e557bcde89d8f6ca244926b830e6,2,AI+PONS,155.87,,109.41,46.46,,,False,False,,
0x2d1b113a8c6e16608a61f8556614cf3e09b911b4,2,AI+NTF,155.03,175.45,,-20.41,,False,,False,,
0xecfe8de3f57285c3909f92a47cd7d2cd02154e65,2,PONS+QUANT,152.86,,40.23,,112.64,,False,,True,
0x8b3e705ca70e15046ce943b5d1e2eaa48642839b,2,PONS+QUANT,151.7,,37.31,,114.39,,False,,True,
0xf1462d010ab43bd33306631f4901ed092eac7c87,2,PONS+QUANT,149.32,,48.61,,100.71,,False,,True,
0x0a4eeaaced0005c13355df625f21945af7d583de,2,PONS+QUANT,145.62,,40.66,,104.96,,False,,True,
0xd027be447acbd841fd01ca064e769d6e3e240630,2,AI+PONS,144.42,,-19.9,164.32,,,False,False,,pons-s030 ai-s002 ai-s005 ai-s009 ai-s029 ai-s035
0x7e07d5213b81e2311f6e8a5a048b9b7b5e6aef76,2,PONS+QUANT,143.67,,90.54,,53.13,,False,,False,
0x2429d3248b0123b7483e498151be1eedcc389981,2,AI+NTF,127.32,105.98,,21.34,,False,,False,,
0xa83b73f5644cde337b61da79589f10ea15548811,2,AI+QUANT,126.34,,,-0.54,126.88,,,True,False,
0x4f8a5b6dfdad1add755970eea86edcf40c9cdead,2,AI+PONS,124.63,,252.94,-128.31,,,False,False,,
0x20f7482e1443b116036a5752c2e4c419eebd783f,2,NTF+QUANT,120.74,109.97,,,10.77,False,,,False,quant-s033
0x0082a884c553cf87a26ddca42283f7397ccfd3e1,2,AI+PONS,117.81,,0,117.81,,,False,False,,
0x498e1035decba5130e8a26a905ebf2a0fad20534,2,AI+PONS,111.33,,107.37,3.96,,,False,False,,
0xc8923f7d3a718cd0453a7300e7bc4e105c5ae9d9,2,AI+PONS,110.29,,137.39,-27.11,,,False,False,,pons-s002 pons-s017 ai-s017
0x0f8a3c9563d754021b7a8f5ca4522a5571668c7c,2,AI+NTF,110.0,110.33,,-0.33,,False,,False,,
0x0c93859953bbcd0e3c1761798a5b9a1e45dba138,2,NTF+QUANT,100.4,102.79,,,-2.39,False,,,False,
0x24f5553e41b7a65644c977aa5d06df2028434e6d,2,AI+QUANT,99.86,,,-3.63,103.49,,,True,False,
0x0580d8cef2447af63efa30e43bc736b57bf97020,3,AI+PONS+QUANT,94.13,,-6.2,60.93,39.4,,False,False,False,
0x80974831ad202a5cfd49f6ec08970375cfc6f9a4,3,AI+PONS+QUANT,92.11,,-13.33,68.72,36.72,,False,False,False,
0x964bf6bfe2aa45d145ca4476b64294d6b390369f,2,PONS+QUANT,89.08,,-570.98,,660.06,,False,,False,
0xd7655e4255bb6c2e3ca036593b0236c46b904db6,2,AI+QUANT,87.92,,,103.06,-15.14,,,False,False,
0x59495c0497abb3c2a60eb7df89b6ad94df8b6993,2,AI+QUANT,77.7,,,15.88,61.82,,,False,False,
0xa854d218a1cc1e9f956c46e85095d09d0f479a5b,2,AI+PONS,76.53,,60.45,16.08,,,False,False,,pons-s026 pons-s028 ai-s023
0x066f75a65965fc420f36566b913bde046fcd8c9b,2,AI+PONS,74.85,,25.85,48.99,,,True,True,,
0x3733eaeb7fb197759da664f3b2ae62964e6524ae,2,NTF+QUANT,74.65,74.67,,,-0.02,False,,,False,ntf-t127 quant-s048
0x0b854b7bb40c48a77e2e5f1b21ffd6b45b6335a4,2,AI+PONS,68.67,,0,68.67,,,True,False,,
0xa55bc8f356f7c232ff87ac034ff364d3a5298681,2,AI+PONS,64.7,,33.04,31.66,,,False,False,,
0xe6a4231ebcb2792054b11294c6429f700b139cb7,2,AI+PONS,59.95,,-4.76,64.71,,,False,False,,
0x6398cc73d910314a56332cb066b93433b7eb245e,2,AI+PONS,52.63,,42.72,9.92,,,False,False,,pons-s009 pons-s010 pons-s013 pons-s028 ai-s024
0x97257bbade12dc2d5f85c86120f8750ce6abff88,2,AI+PONS,50.89,,58.83,-7.94,,,False,False,,pons-s007 pons-s009 pons-s029 pons-s030 ai-s038
0x2337fb6c925c3b194c4f73de81e91e8223607469,2,PONS+QUANT,45.48,,-1.99,,47.47,,True,,False,
0x264da0a09103c919c0d236dfd40cae608fdef194,2,AI+PONS,43.15,,49.87,-6.72,,,False,False,,pons-s003 pons-s018 ai-s016
0x36b955d85bf58062a5006ac4da3a39443da33abc,2,AI+QUANT,42.72,,,-21.17,63.89,,,False,False,
0x2e27296db73efa090c33823b0b637f031d1a1f97,3,AI+PONS+QUANT,37.23,,86.8,0,-49.57,,True,True,False,
0x6d3b112a11a8302285a28a43be0f2a49058f87c0,2,AI+PONS,33.0,,24.53,8.47,,,False,False,,
0xe00ece45e3dd0aae8f845ae1274e37c672f7f9d4,2,AI+PONS,32.94,,9.96,22.98,,,False,False,,pons-s023 ai-s029
0x2cd3e90e68e35c6be258ed7b2b4418c335f379ae,2,AI+PONS,27.52,,-4.73,32.25,,,False,False,,
0xc823517c91b0d910c2ea5a872e9e786d8a72b4e6,2,AI+PONS,22.86,,28.16,-5.3,,,False,False,,pons-s001 ai-s020
0x7d62eb44e1924cb75bd3188ea32043407cfcd602,3,AI+NTF+PONS,22.85,6.18,17.7,-1.02,,False,True,False,,
0x3c2833fb8ae53013b45dd057eb1328d58b3dd56b,2,AI+PONS,20.55,,-2.93,23.48,,,False,False,,
0x05edbb8e5c505357d794ecf0ed5a9af3aea42cf8,2,AI+PONS,18.92,,18.92,0,,,False,False,,pons-s005
0x6bf0e60c9f535b40e7f90443be4145eed317f5c4,3,AI+PONS+QUANT,17.94,,-11.26,23.85,5.35,,False,False,False,
0x28e8108e50b88d069843b5063c6554a29a094bfc,2,AI+PONS,14.91,,9.91,5.01,,,False,False,,
0xa63d8e8a4dd26544d56d4a015792c3df06e97f25,2,AI+PONS,14.13,,0,14.13,,,False,True,,
