wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
5ZJYjAUVMLAJGccsEMV5SNjgnBHduumHyMjjHUtSubkG,1787075301,2026-08-18T17:48:21Z,56709.79685291222,1787176058,2026-08-19T21:47:38Z,8,21,35.744898624,68.019726234,6885027.822159865,6885027.822159863,1.862645149230957e-09,32.274827609999996,2435.4584914505995,1679.28,False,29,False
EyVaGh2eyp6zFPWLAiXx8wzEjn98VktPaANra78vkAKm,1787075301,2026-08-18T17:48:21Z,56987.491717726436,1787176058,2026-08-19T21:47:38Z,8,21,35.241423815000005,66.527315628,6723961.995618211,6723961.995618211,0.0,31.285891813,2360.8333962089796,1679.28,True,29,False
2zXpLvhzH3BTAoaNpDRQPUKZqPZiQdDqc29d8wdr4UNz,1787075301,2026-08-18T17:48:21Z,58056.00519223086,1787176058,2026-08-19T21:47:38Z,8,21,37.175807278,67.635477916,6755819.06315741,6755819.063157409,9.313225746154785e-10,30.459670638000002,2298.48674634348,1679.28,True,29,False
q8Kx1rkvAMKxRjKy2NCTCvJBWfuafpvHUF2REbayHHM,1787075171,2026-08-18T17:46:11Z,43114.94004016264,1787075373,2026-08-18T17:49:33Z,1,10,5.01905928,35.047478307,6324367.977415167,6324367.977415167,0.0,30.028419027,2265.94449977742,3.37,True,11,False
4AXv1nmDRxosiz2Zr5bn4veEg63Ty32TParXHnTpQhzG,1787075301,2026-08-18T17:48:21Z,57491.621400191674,1787176058,2026-08-19T21:47:38Z,8,21,34.325787924000004,62.64671905,6328641.413824966,6328641.413824966,0.0,28.320931125999998,2137.0974627679598,1679.28,True,29,False
2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,1786828841,2026-08-15T21:20:41Z,25213.772425800733,1787679000,2026-08-25T17:30:00Z,37,52,69.54607855999997,93.16384340500001,36064817.33233124,36064817.33233122,2.2351741790771484e-08,23.617764845000007,1782.1965352037005,14169.32,False,89,True
7RyLnk9AfBaWKD56fqDHt9hYHcLTtpZ5sVH4NcwNJ7gj,1787075279,2026-08-18T17:47:59Z,49231.477117109935,1787603025,2026-08-24T20:23:45Z,5,5,14.386603560000001,33.943195900999996,2413814.515873775,2413814.515873775,0.0,19.556592341,1475.74045805186,8795.77,True,10,False
Hedt6aVyFRvxpQJkrrqgZ3e3JxUNb7ufCVyYXMnHYYE4,1786828862,2026-08-15T21:21:02Z,29910.871504361003,1787424274,2026-08-22T18:44:34Z,54,64,97.94960050499999,116.057502677,16311532.522526328,16311532.522526326,1.862645149230957e-09,18.107902172000003,1366.4222978991202,9923.53,True,118,True
5kidNviTucvoHuFGuPQUikWokMxsLZMncGrS5gK9Cujs,1786828862,2026-08-15T21:21:02Z,28998.14100263478,1787424274,2026-08-22T18:44:34Z,54,65,98.56256735699999,116.36911352799999,16205822.068474216,16205822.068474216,0.0,17.806546171,1343.68197406366,9923.53,True,119,True
2AwjJTdTWCu6QjyZKvF6oVEd9TkQP1WYvVswFvDEySxn,1786828862,2026-08-15T21:21:02Z,29585.618749828653,1787424274,2026-08-22T18:44:34Z,54,64,97.98438929700002,115.72230172399998,15935723.997702664,15935723.997702664,0.0,17.737912426999994,1338.5028717414195,9923.53,True,118,True
7aQ2v6Eh5ocjcJzjTBHaVUgi6UuSRDFKnaVQzco2ygvg,1787075273,2026-08-18T17:47:53Z,46099.61919885546,1787075324,2026-08-18T17:48:44Z,5,2,8.80803928,26.260815909,10418646.676192975,10418646.676192975,0.0,17.452776629,1316.98652442434,0.85,True,7,False
3KEdzpSYJ7sXfHKpVhSF2Qj6ZAjd3Q3dugFCZ4umWvkR,1786828873,2026-08-15T21:21:13Z,39879.16204954048,1787507749,2026-08-23T17:55:49Z,32,104,30.568263076,40.339858196,6541979.448744599,11023923.552146487,0.0,17.335524542168525,1308.1386819520367,11314.6,True,136,True
DenZLNzBtE3L8T1kQFKh8oE7FCXBrdsM9xwCbsnKvdJq,1786828862,2026-08-15T21:21:02Z,29421.053297938783,1787424274,2026-08-22T18:44:34Z,54,65,98.11912836100001,115.432723852,16533592.278072402,16533592.2780724,1.862645149230957e-09,17.313595490999994,1306.4839157508595,9923.53,True,119,True
D7HoNhGqBAXezS9ZY7zu5ZEP7PZfAu8vdmbJYVesDaoE,1787074153,2026-08-18T17:29:13Z,37319.76452798722,1787075355,2026-08-18T17:49:15Z,0,1,0,14.200686246,0.0,1998126.77126417,0.0,14.200686246,1071.5837841231598,20.03,True,1,False
h1jpvLkFT6u81HZH1zWhd4Vrf1qybKTADovXxDLrbtK,1787075299,2026-08-18T17:48:19Z,54629.52925242766,1787175665,2026-08-19T21:41:05Z,7,36,8.11207856,22.000185062,3230064.763703485,3230064.763703485,0.0,13.888106501999998,1047.9965166409197,1672.77,True,43,False
2pUUZYtokRgDV2YzL6M5pjb1jyoHE367yU1sdQ7ac3ea,1787075281,2026-08-18T17:48:01Z,52433.433225579996,1787423450,2026-08-22T18:30:50Z,4,7,8.12087856,21.49819749,3227964.204541044,3227964.204541044,0.0,13.377318930000001,1009.4524864578,5802.82,True,11,False
2R9ca7YkK8Ta3Nv1Gn4yhzJQumqpWzxMgN1xSB5J1Hrb,1787075283,2026-08-18T17:48:03Z,54067.45339967832,1787076338,2026-08-18T18:05:38Z,2,15,4.00205928,14.577504689999998,2110943.494509879,2110943.4945098786,4.656612873077393e-10,10.575445410000002,798.0231106386001,17.58,True,17,False
tronFPfm42zg7TowSTvPw3ya2tU2oYqvwKJ7i2xgBGB,1786828882,2026-08-15T21:21:22Z,44898.25560019004,1787499209,2026-08-23T15:33:29Z,18,8,103.671662178,32.966275679999995,3999926.8974217535,3496343.0566082927,503583.84081346076,10.459427926873786,789.2684313618959,11172.12,False,26,True
ZZGtLggQHdZ2LgkDtnbJ1eVQMYLpQN7H1fjCGZAw8G1,1786828868,2026-08-15T21:21:08Z,36892.327321461795,1787507286,2026-08-23T17:48:06Z,21,16,36.00558486500001,43.95776558999999,8162348.432138743,8162348.432138743,0.0,7.9521807249999945,600.0715575084995,11306.97,True,37,True
Ebux1vXaJYiugKxnBNgQbsBjbjjFK1K2k1zXjkD3tqDk,1786828868,2026-08-15T21:21:08Z,36870.50461077084,1787507286,2026-08-23T17:48:06Z,21,16,35.993301694,43.90880554799999,8278795.384233628,8278795.384233628,0.0,7.915503854000002,597.30392082284,11306.97,True,37,True
3DZNVBQxpaowav4Prz5fwyTG8ReNW6aL118Mod8fJxrg,1787074977,2026-08-18T17:42:57Z,42142.364929255215,1787075567,2026-08-18T17:52:47Z,1,12,1.003350154,8.894719699000001,1282948.760251684,1282948.760251684,0.0,7.891369545,595.4827458656999,9.83,True,13,False
A1igHDVAzKcGUAbVMFV8HrCCSUfcs5YzVfW3i9895pdW,1786828868,2026-08-15T21:21:08Z,36916.315253612556,1787507286,2026-08-23T17:48:06Z,21,16,36.907531018,44.742385592999995,8346063.809164276,8346063.809164277,0.0,7.834854574999998,591.2181262294998,11306.97,True,37,True
GpNHGPQXQEnrrbL8paxGdEWrNEvdFcZFVtC6ztMoYuYo,1786828868,2026-08-15T21:21:08Z,36849.05224176326,1787507286,2026-08-23T17:48:06Z,21,16,36.983987387999996,44.408382738,8352197.178922881,8352197.178922882,0.0,7.42439535,560.244873111,11306.97,True,37,True
